time,"Brent crude oil spot price, Monthly (dollars per barrel)",avg,,,,,,,,,,,sno,x1,x2,x3,y
2001 02 ,27.503,29.54542857,,,,,,,,,,,,,,,
2001 03 ,24.497,29.377,,,,,,,,,,,,,,,
2001 04 ,25.657,28.56285714,,,,,,,,,,,,,,,
2001 05 ,28.313,27.49328571,,,,,,,,,,,,,,,
2001 06 ,27.849,27.11514286,,,,,,,,,,,,,,,
2001 07 ,24.613,26.44328571,,,,,,,,,,,,,,,
2001 08 ,25.68,26.29371429,,,,,,,,,,,,,,,
2001 09 ,25.619,26.30171429,,,,,,,,,,,,,,,
2001 10 ,20.537,26.03257143,,,,,,,,,,,,,,,
2001 11 ,18.797,25.46685714,,,,,,,,,,,,,,,
2001 12 ,18.705,24.48685714,,,,,,,,,,,,,,,
2002 01 ,19.416,23.11428571,,,,,,,,,,,,,,,
2002 02 ,20.275,21.90957143,,,,,,,,,,,,,,,
2002 03 ,23.696,21.28985714,,,,,,,,,,,,,,,
2002 04 ,25.728,21.00642857,,,,,,,,,,,,,,,
2002 05 ,25.345,21.022,,,,,,,,,,,,,,,
2002 06 ,24.081,21.70885714,,,,,,,,,,,,,,,
2002 07 ,25.736,22.46371429,,,,,,,,,,,,,,,
2002 08 ,26.651,23.46814286,,,,,,,,,,,,,,,
2002 09 ,28.399,24.50171429,,,,,,,,,,,,,,,
2002 10 ,27.543,25.66228571,,,,,,,,,,,,,,,
2002 11 ,24.335,26.21185714,,,,,,,,,,,,,,,
2002 12 ,28.334,26.01285714,,,,,,,,,,,,,,,
2003 01 ,31.183,26.43985714,,,,,,,,,,,,,,,
2003 02 ,32.771,27.45442857,,,,,,,,,,,,,,,
2003 03 ,30.612,28.45942857,,,,,,,,,,,,,,,
2003 04 ,24.998,29.02528571,,,,,,,,,,,,,,,
2003 05 ,25.857,28.53942857,,,,,,,,,,,,,,,
2003 06 ,27.652,28.29857143,,,,,,,,,,,,,,,
2003 07 ,28.348,28.77242857,,,,,,,,,,,,,,,
2003 08 ,29.888,28.77442857,,,,,,,,,,,,,,,
2003 09 ,27.112,28.58942857,,,,,,,,,,,,,,,
2003 10 ,29.607,27.781,,,,,,,,,,,,,,,
2003 11 ,28.752,27.63742857,,,,,,,,,,,,,,,
2003 12 ,29.807,28.17371429,,,,,,,,,,,,,,,
2004 01 ,31.28,28.738,,,,,,,,,,,,,,,
2004 02 ,30.858,29.25628571,,,,,,,,,,,,,,,
2004 03 ,33.634,29.61485714,,,,,,,,,,,,,,,
2004 04 ,33.59,30.15,,,,,,,,,,,,,,,
2004 05 ,37.567,31.07542857,,,,,,,,,,,,,,,
2004 06 ,35.183,32.21257143,,,,,,,,,,,,,,,
2004 07 ,38.221,33.13128571,,,,,,,,,,,,,,,
2004 08 ,42.744,34.33328571,,,,,,,,,,,,,,,
2004 09 ,43.196,35.971,,,,,,,,,,,,,,,
2004 10 ,49.776,37.73357143,,,,,,,,,,,,,,,
2004 11 ,43.11,40.03957143,,,,,,,,,,,,,,,
2004 12 ,39.602,41.39957143,,,,,,,,,,,,,,,
2005 01 ,44.509,41.69028571,,,,,,,,,,,,,,,
2005 02 ,45.475,43.02257143,,,,,,,,,,,,,,,
2005 03 ,53.104,44.05885714,,,,,,,,,,,,,,,
2005 04 ,51.883,45.53885714,,,,,,,,,,,,,,,
2005 05 ,48.645,46.77985714,,,,,,,,,,,,,,,
2005 06 ,54.354,46.61828571,,,,,,,,,,,,,,,
2005 07 ,57.52,48.22457143,,,,,,,,,,,,,,,
2005 08 ,63.983,50.78428571,,,,,,,,,,,,,,,
2005 09 ,62.908,53.56628571,,,,,,,,,,,,,,,
2005 10 ,58.538,56.05671429,,,,,,,,,,,,,,,
2005 11 ,55.241,56.833,,,,,,,,,,,,,,,
2005 12 ,56.855,57.31271429,,,,,,,,,,,,,,,
2006 01 ,62.985,58.48557143,,,,,,,,,,,,,,,
2006 02 ,60.21,59.71857143,,,,,,,,,,,,,,,
2006 03 ,62.064,60.10285714,,,,,,,,,,,,,,,
2006 04 ,70.26,59.82871429,,,,,,,,,,,,,,,
2006 05 ,69.776,60.879,,,,,,,,,,,,,,,
